data,dia,seguidores,seguindo,posts
2021-02-06,Sab,2483960,1215,94
2021-02-07,Dom,2521864,1214,94
2021-02-08,Seg,2645883,1214,95
2021-02-09,Ter,2687200,1216,100
2021-02-10,Qua,2723904,1215,101
2021-02-11,Qui,2796841,1216,102
2021-02-12,Sex,2868843,1219,101
2021-02-13,Sab,2941192,1219,104
2021-02-14,Dom,2981128,1220,105
2021-02-15,Seg,3095290,1220,107
2021-02-16,Ter,3143897,1222,108
2021-02-17,Qua,3191946,1223,110
2021-02-18,Qui,3214662,1222,112
2021-02-19,Sex,3213236,1219,113
2021-02-20,Sab,3227184,1221,117
