data,dia,seguidores,seguindo,posts
2021-02-05,Sex,1118728,1686,288
2021-02-06,Sab,1157388,1685,288
2021-02-07,Dom,1173496,1685,289
2021-02-08,Seg,1245285,1688,289
2021-02-09,Ter,1202414,1689,290
2021-02-10,Qua,1254697,1686,290
2021-02-11,Qui,1297360,1690,291
2021-02-12,Sex,1307392,1690,292
2021-02-13,Sab,1309852,1690,294
2021-02-14,Dom,1320607,1689,295
2021-02-15,Seg,1334047,1690,296
2021-02-16,Ter,1343320,1692,297
2021-02-17,Qua,1354960,1690,298
2021-02-18,Qui,1360528,1692,299
2021-02-19,Sex,1361611,1690,301
