data,dia,seguidores,seguindo,posts
2021-02-05,Sex,866769,575,412
2021-02-06,Sab,933045,574,414
2021-02-07,Dom,1056941,579,418
2021-02-08,Seg,1173715,579,421
2021-02-09,Ter,2044906,590,422
2021-02-10,Qua,3257958,616,424
2021-02-11,Qui,4255881,620,429
2021-02-12,Sex,4462836,623,431
2021-02-13,Sab,4587869,639,435
2021-02-14,Dom,4711254,642,440
2021-02-15,Seg,4823948,635,443
2021-02-16,Ter,4935308,636,445
2021-02-18,Qui,5023107,635,448
2021-02-19,Sex,5035929,632,451
2021-02-20,Sab,5068953,630,453
