data,dia,seguidores,seguindo,posts
2021-02-03,Qua,3814659,2350,1572
2021-02-04,Qui,3815678,2352,1573
2021-02-05,Sex,3836179,2352,1574
2021-02-07,Dom,3840711,2353,1577
2021-02-08,Seg,3832528,2350,1579
2021-02-09,Ter,3871431,2353,1582
2021-02-10,Qua,3928055,2354,1584
2021-02-11,Qui,3961200,2355,1586
2021-02-13,Sab,4044028,2361,1592
2021-02-14,Dom,4073124,2363,1595
2021-02-15,Seg,4101870,2364,1597
2021-02-16,Ter,4129430,2363,1602
2021-02-17,Qua,4171215,2364,1604
2021-02-18,Qui,4200243,2367,1607
2021-02-19,Sex,4227940,2369,1610
