data,dia,seguidores,seguindo,posts
2021-02-06,Sab,4553610,727,3603
2021-02-07,Dom,4773007,727,3605
2021-02-08,Seg,4785367,727,3605
2021-02-09,Ter,4912599,731,3604
2021-02-10,Qua,5056009,732,3607
2021-02-11,Qui,5185217,735,3608
2021-02-12,Sex,5308004,735,3610
2021-02-13,Sab,5394493,736,3612
2021-02-14,Dom,5461185,737,3614
2021-02-15,Seg,5538146,737,3615
2021-02-16,Ter,5615287,738,3617
2021-02-17,Qua,5718600,750,3620
2021-02-18,Qui,5801744,755,3622
2021-02-19,Sex,5853828,756,3624
2021-02-20,Sab,5887559,756,3626
