data,dia,seguidores,seguindo,posts
2021-02-06,Sab,2319810,1572,1212
2021-02-07,Dom,2304593,1572,1213
2021-02-08,Seg,2303697,1573,1214
2021-02-09,Ter,2307721,1572,1215
2021-02-10,Qua,2313045,1573,1215
2021-02-11,Qui,2317122,1573,1216
2021-02-12,Sex,2321097,1574,1217
2021-02-13,Sab,2327047,1574,1219
2021-02-14,Dom,2329887,1574,1221
2021-02-15,Seg,2348833,1576,1223
2021-02-16,Ter,2372626,1576,1226
2021-02-17,Qua,2394972,1577,1231
2021-02-18,Qui,2417014,1578,1234
2021-02-19,Sex,2431068,1579,1237
2021-02-20,Sab,2444619,1580,1238
