data,dia,seguidores,seguindo,posts
2021-02-05,Sex,1290215,1975,95
2021-02-06,Sab,1546882,1973,97
2021-02-08,Seg,2875345,1978,107
2021-02-09,Ter,3090369,1980,105
2021-02-10,Qua,3875165,1980,108
2021-02-11,Qui,4191673,2001,112
2021-02-12,Sex,4388864,2002,114
2021-02-13,Sab,4548054,2002,115
2021-02-14,Dom,4700690,2004,118
2021-02-15,Seg,4832644,2007,120
2021-02-16,Ter,4865384,2007,121
2021-02-17,Qua,5124973,2007,124
2021-02-18,Qui,5273289,2007,127
2021-02-19,Sex,5368190,2009,129
2021-02-20,Sab,5445036,2009,130
