data,dia,seguidores,seguindo,posts
2021-02-06,Sab,3134785,392,2177
2021-02-07,Dom,3153509,394,2177
2021-02-08,Seg,3169051,394,2177
2021-02-09,Ter,3195574,395,2178
2021-02-10,Qua,3243369,395,2178
2021-02-11,Qui,3313824,396,2182
2021-02-12,Sex,3333861,397,2182
2021-02-13,Sab,3366621,397,2183
2021-02-14,Dom,3385693,399,2184
2021-02-15,Seg,3419638,400,2185
2021-02-16,Ter,3439643,402,2186
2021-02-17,Qua,3460797,402,2184
2021-02-18,Qui,3474103,404,2185
2021-02-19,Sex,3479397,403,2186
2021-02-20,Sab,3492839,403,2187
