data,dia,seguidores,seguindo,posts
2021-02-05,Sex,253051,1576,247
2021-02-06,Sab,256427,1575,249
2021-02-07,Dom,260394,1577,251
2021-02-08,Seg,269489,1582,254
2021-02-09,Ter,287596,1583,258
2021-02-11,Qui,303753,1583,261
2021-02-12,Sex,310701,1583,264
2021-02-13,Sab,316441,1582,266
2021-02-14,Dom,330345,1583,274
2021-02-15,Seg,343337,1585,277
2021-02-16,Ter,357371,1588,282
2021-02-17,Qua,376226,1588,285
2021-02-18,Qui,391207,1590,288
2021-02-19,Sex,405053,1591,290
2021-02-20,Sab,412057,1591,291
