data,dia,seguidores,seguindo,posts
2021-02-06,Sab,4629083,1480,189
2021-02-07,Dom,5213605,1483,193
2021-02-08,Seg,6139361,1483,198
2021-02-09,Ter,6466259,1488,206
2021-02-10,Qua,6963902,1486,210
2021-02-11,Qui,7327856,1491,216
2021-02-12,Sex,7572443,1490,218
2021-02-13,Sab,7771061,1492,223
2021-02-14,Dom,7957152,1494,226
2021-02-15,Seg,8204246,1495,231
2021-02-16,Ter,8428874,1499,235
2021-02-17,Qua,8738898,1499,239
2021-02-18,Qui,8945611,1501,243
2021-02-19,Sex,9157418,1504,247
2021-02-20,Sab,9375361,1502,251
