data,dia,seguidores,seguindo,posts
2021-02-05,Sex,1402630,1287,921
2021-02-06,Sab,1383943,1285,921
2021-02-07,Dom,1350944,1283,921
2021-02-08,Seg,1313396,1282,923
2021-02-10,Qua,1306703,1280,923
2021-02-11,Qui,1300186,1280,924
2021-02-12,Sex,1262299,1280,925
2021-02-13,Sab,1243698,1278,925
2021-02-14,Dom,1241119,1279,926
2021-02-15,Seg,1236920,1279,927
2021-02-16,Ter,1231722,1279,928
2021-02-17,Qua,1229938,1279,928
2021-02-18,Qui,1226329,1281,931
2021-02-19,Sex,1223580,1281,933
2021-02-20,Sab,1223187,1281,933
