data,dia,seguidores,seguindo,posts
2021-02-06,Sab,680579,1677,1226
2021-02-07,Dom,734579,1684,1228
2021-02-08,Seg,766673,1685,1231
2021-02-09,Ter,792666,1689,1234
2021-02-10,Qua,826813,1694,1237
2021-02-11,Qui,843245,1655,1238
2021-02-12,Sex,851152,1655,1239
2021-02-13,Sab,857529,1654,1240
2021-02-14,Dom,861096,1657,1242
2021-02-15,Seg,913673,1662,1244
2021-02-16,Ter,938560,1665,1245
2021-02-17,Qua,957675,1681,1246
2021-02-18,Qui,969206,1662,1247
2021-02-19,Sex,980213,1571,1249
2021-02-19,Sex,980213,1571,1249
