data,dia,seguidores,seguindo,posts
2021-02-06,Sab,158346,2148,83
2021-02-07,Dom,155201,2150,83
2021-02-08,Seg,145743,2143,82
2021-02-09,Ter,146921,2142,82
2021-02-10,Qua,158840,2139,83
2021-02-11,Qui,159462,2139,85
2021-02-12,Sex,157105,2139,85
2021-02-13,Sab,152827,2140,86
2021-02-14,Dom,150284,2138,87
2021-02-15,Seg,149011,2137,87
2021-02-16,Ter,148192,2138,88
2021-02-17,Qua,148826,2139,88
2021-02-18,Qui,148533,2139,89
2021-02-19,Sex,148445,2138,90
2021-02-19,Sex,148445,2138,90
