data,dia,seguidores,seguindo,posts
2021-02-06,Sab,1338083,725,2931
2021-02-07,Dom,1316723,725,2931
2021-02-08,Seg,1303344,724,2929
2021-02-09,Ter,1301277,723,2929
2021-02-10,Qua,1284768,723,2921
2021-02-11,Qui,1270212,724,2920
2021-02-12,Sex,1267778,724,2919
2021-02-13,Sab,1264621,724,2919
2021-02-14,Dom,1254321,724,2920
2021-02-15,Seg,1235762,722,2919
2021-02-16,Ter,1227543,723,2920
2021-02-17,Qua,1296762,719,2919
2021-02-18,Qui,1318648,725,2919
2021-02-19,Sex,1339504,725,2921
2021-02-19,Sex,1339504,725,2921
