data,dia,seguidores,seguindo,posts
2021-02-05,Sex,4355583,470,2721
2021-02-06,Sab,4277298,470,2721
2021-02-07,Dom,4192892,470,2721
2021-02-08,Seg,4037964,470,2724
2021-02-09,Ter,3976801,470,2726
2021-02-10,Qua,3947006,471,2726
2021-02-11,Qui,3911241,471,2729
2021-02-12,Sex,3900567,471,2730
2021-02-13,Sab,3891995,472,2730
2021-02-14,Dom,3875190,472,2731
2021-02-15,Seg,3863659,472,2733
2021-02-16,Ter,3850362,472,2734
2021-02-17,Qua,3839472,472,2735
2021-02-19,Sex,3827318,471,2736
2021-02-20,Sab,3814879,472,2737
